Day,Times,Time,PG1,PG2,PG3,PG4,PG5,PG6
2023-11-06,2:10:21,2023-11-06 02:10:21,434,269,1160,628,1255,1616
2023-11-06,2:30:14,2023-11-06 02:30:14,435,265,1160,629,1255,1616
2023-11-06,2:50:08,2023-11-06 02:50:08,436,264,1160,628,1255,1616
2023-11-06,3:11:00,2023-11-06 03:11:00,436,264,1162,628,1255,1619
2023-11-06,3:30:55,2023-11-06 03:30:55,436,264,1162,629,1255,1619
2023-11-06,3:50:49,2023-11-06 03:50:49,436,264,1162,628,1255,1619
2023-11-06,4:10:44,2023-11-06 04:10:44,435,264,1162,628,1255,1619
2023-11-06,4:30:41,2023-11-06 04:30:41,435,265,1162,629,1255,1619
2023-11-06,5:34:59,2023-11-06 05:34:59,434,265,1162,627,1255,1619
2023-11-06,6:02:08,2023-11-06 06:02:08,433,265,1165,631,1255,1621
2023-11-06,6:22:02,2023-11-06 06:22:02,429,264,1165,634,1255,1621
2023-11-06,6:41:56,2023-11-06 06:41:56,424,262,1159,636,1255,1616
2023-11-06,10:07:36,2023-11-06 10:07:36,0,36,817,406,338,993
2023-11-06,10:25:34,2023-11-06 10:25:34,0,5,761,377,310,906
2023-11-06,10:46:23,2023-11-06 10:46:23,0,0,645,334,277,777
2023-11-06,11:21:58,2023-11-06 11:21:58,0,9,556,292,244,637
2023-11-06,13:08:35,2023-11-06 13:08:35,0,42,469,274,206,685
2023-11-06,13:41:30,2023-11-06 13:41:30,0,33,504,309,243,693
2023-11-06,13:56:37,2023-11-06 13:56:37,0,23,493,306,258,695
2023-11-06,14:11:43,2023-11-06 14:11:43,9,28,507,332,311,750
2023-11-06,14:26:51,2023-11-06 14:26:51,13,23,509,336,349,773
2023-11-06,14:41:56,2023-11-06 14:41:56,22,38,516,352,387,778
2023-11-06,14:57:02,2023-11-06 14:57:02,32,43,527,363,411,797
2023-11-06,15:05:41,2023-11-06 15:05:41,41,57,533,366,414,807
2023-11-06,15:12:07,2023-11-06 15:12:07,47,69,544,371,433,823
2023-11-06,15:27:15,2023-11-06 15:27:15,61,86,591,385,478,868
2023-11-06,15:42:32,2023-11-06 15:42:32,71,102,656,420,533,945
2023-11-06,15:57:40,2023-11-06 15:57:40,90,122,680,428,557,950
2023-11-06,16:12:53,2023-11-06 16:12:53,87,138,683,445,590,954
2023-11-06,16:28:00,2023-11-06 16:28:00,82,154,679,453,614,957
2023-11-06,16:43:07,2023-11-06 16:43:07,71,159,697,467,677,976
2023-11-06,16:58:16,2023-11-06 16:58:16,65,159,689,463,716,974
2023-11-06,17:22:02,2023-11-06 17:22:02,66,166,662,481,815,1003
2023-11-06,17:37:10,2023-11-06 17:37:10,63,170,684,491,842,1065
2023-11-06,17:52:16,2023-11-06 17:52:16,60,176,702,487,869,1104
2023-11-06,18:07:20,2023-11-06 18:07:20,48,176,713,491,893,1126
2023-11-06,20:04:46,2023-11-06 20:04:46,265,247,917,605,1144,1443
2023-11-06,20:19:54,2023-11-06 20:19:54,287,254,934,616,1165,1466
2023-11-06,20:35:01,2023-11-06 20:35:01,291,256,956,617,1180,1493
2023-11-06,20:50:08,2023-11-06 20:50:08,301,257,979,612,1193,1517
2023-11-06,21:20:51,2023-11-06 21:20:51,350,251,1018,612,1211,1526
2023-11-06,21:35:57,2023-11-06 21:35:57,359,247,1054,620,1218,1547
2023-11-06,21:51:03,2023-11-06 21:51:03,366,246,1087,617,1223,1561
2023-11-06,22:06:10,2023-11-06 22:06:10,377,244,1103,626,1237,1569
2023-11-06,22:22:20,2023-11-06 22:22:20,387,248,1123,622,1244,1579
2023-11-06,22:39:39,2023-11-06 22:39:39,399,247,1132,617,1247,1588
2023-11-06,22:54:48,2023-11-06 22:54:48,405,244,1136,618,1246,1592
2023-11-06,23:09:57,2023-11-06 23:09:57,410,243,1140,615,1244,1591
2023-11-06,23:41:36,2023-11-06 23:41:36,420,241,1146,609,1250,1601
2023-11-06,23:58:18,2023-11-06 23:58:18,415,243,1152,611,1247,1607
2023-11-07,0:13:26,2023-11-07 00:13:26,421,248,1157,612,1246,1617
2023-11-07,0:29:13,2023-11-07 00:29:13,423,251,1159,612,1246,1617
